Sl. No.,Image Filename,Anomaly,Anomaly,Classification of Image,Image Classification Level 2,Image Classification Level 1,,Tr/Te,,,,,
105,Cluster-Safe-\\0\\image-838.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
133,Cluster-Safe-\\0\\image-1102.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,0,Train,,,,,
232,Cluster-Safe-\\0\\image-1833.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
295,Cluster-Safe-\\2\\image-365.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
301,Cluster-Safe-\\2\\image-388.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,0,Train,,,,,
333,Cluster-Safe-\\2\\image-613.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
356,Cluster-Safe-\\2\\image-765.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,0,Train,,,,,
436,Cluster-Safe-\\2\\image-1337.jpg,1,Anomaly,Issue,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,0,Train,,,,,
481,Cluster-Safe-\\2\\image-1682.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,0,Train,,,,,
634,Cluster-Safe-\\3\\image-1087.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
649,Cluster-Safe-\\3\\image-1225.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,Issue,Risk,Potential Issue,Potential Risk,
956,Cluster-Safe-\\6\\image-1746.jpg,1,Anomaly,Risk,,#N/A,0,Train,far,Man working,When the picture is taken far away,Close-Up Picture,
963,Cluster-Safe-\\6\\image-1824.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
994,Cluster-Safe-\\8\\image-149.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1051,Cluster-Safe-\\8\\image-648.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1210,Cluster-Safe-\\9\\image-439.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1636,Cluster-Safe-\\14\\image-1691.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1726,Cluster-Safe-\\17\\image-738.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
34,Cluster-Safe-\\0\\image-226.jpg,1,Anomaly,Issue,Special Mechanical Systems,Mechanical,0,Train,,,,,
319,Cluster-Safe-\\2\\image-536.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
386,Cluster-Safe-\\2\\image-971.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
396,Cluster-Safe-\\2\\image-1077.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
473,Cluster-Safe-\\2\\image-1635.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
658,Cluster-Safe-\\3\\image-1301.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
728,Cluster-Safe-\\3\\image-1982.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
823,Cluster-Safe-\\6\\image-694.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,0,Train,,,,,
1074,Cluster-Safe-\\8\\image-834.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1093,Cluster-Safe-\\8\\image-988.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1122,Cluster-Safe-\\8\\image-1251.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1269,Cluster-Safe-\\9\\image-1173.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1390,Cluster-Safe-\\13\\image-646.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
1556,Cluster-Safe-\\14\\image-693.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1619,Cluster-Safe-\\14\\image-1542.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1637,Cluster-Safe-\\14\\image-1694.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
57,Cluster-Safe-\\0\\image-402.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
75,Cluster-Safe-\\0\\image-569.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
132,Cluster-Safe-\\0\\image-1099.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
246,Cluster-Safe-\\0\\image-1968.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
564,Cluster-Safe-\\3\\image-435.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,0,Train,,,,,
764,Cluster-Safe-\\6\\image-218.jpg,0,Normal,Potential Risk,,#N/A,0,Train,,,,,
862,Cluster-Safe-\\6\\image-1055.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1125,Cluster-Safe-\\8\\image-1292.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1213,Cluster-Safe-\\9\\image-497.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1237,Cluster-Safe-\\9\\image-700.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1246,Cluster-Safe-\\9\\image-810.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
1264,Cluster-Safe-\\9\\image-1118.jpg,1,Anomaly,Risk,,#N/A,0,Train,,,,,
1425,Cluster-Safe-\\13\\image-1067.jpg,1,Anomaly,Issue,,#N/A,0,Train,,,,,
1459,Cluster-Safe-\\13\\image-1459.jpg,0,Normal,Potential Issue,,#N/A,0,Train,,,,,
